person,dialogue
chandler,"so, you and rachel tonight, uh?"
joey,yeah. it's actually our first official date
chandler,wow! so tonight may be the night! you're nervous?
joey,"naa, no. this is the part i'm actually good at."
chandler,what must it be like not to be crippled by fear and self-loathing.
joey,(pause) it's ok!
chandler,how can you be so confident?
joey,"well, i... i know exactly what i'm gonna do!"
chandler,really? like you have a routine?
joey,"no, no no no no. see. each woman is different.you have to appreciate their uniqueness."
chandler,really?
joey,"no, i do six things! first, i look deep in her eyes. then, i kiss her. next i take my hand and i softly graze her thigh."
chandler,you mean like this? (he starts touching his thigh in a funny and awkard way)
joey,"no! not like that, no no. no, like this. (he starts lightly grazing chandler's thigh)"
chandler,"oh, i see what you mean, that's quite nice. (they look at each other, both embarassed)"
joey,more foosball?
chandler,...and beer!!
monica,(entering) hey!
monica,(to chandler) hey sweetie! (they kiss)
ross,(looking at monica's legs) wow!
chandler,hey! stop staring at my wife's legs! no no! stop staring at your sister's legs!
ross,"i'm sorry, it's just... how did you get so tan?"
chandler,she went on one of those spray-on tan places.
ross,"eh, you got a spray-on tan?"
monica,chandler gets pedicures!
ross,"(laughing) why, why you do, like with the-the toe separators?"
chandler,(to monica) why...why?
ross,"still, i can't believe that's sprayed on... i mean, it looks really good. i wonder if i should get one!"
chandler,"sure, then you should get a mini skirt so you can really show it off."
ross,"so, do you get colours or just french tips?"
monica,there. here's their card.
ross,"thanks. (he takes the card) hey, i know where this place is! it used to be an x-rated video... (pauses when he realizes what he is saying) florist. (he goes away)"
phoebe,hey!
chandler,hey pheebs!
monica,hey phoebe!
phoebe,"oh, you won't believe who moved back to town."
monica,"i know, amanda! ah! she called me too! she's the worst!"
chandler,who's amanda?
monica,"she's this girl who used to live in the building before you did. then she moved to england and she picked up this fake british accent. on the machine this is her message. (she apes amanda using an awful british accent) ""monica, darling! it's amanda calling!"""
chandler,are you trying to do a british accent?
monica,(pause) (to phoebe) chandler gets pedicures!
chandler,"just so i know, how many more of those can i expect?"
phoebe,"you know what amanda said to me when she got me on the phone? (apes amanda in a british accent) ""oh, so sorry to catch you on your mo-bile!"" if-if you don't wanna get me on my mo-bile, don't call me on my mo-bile!"""
monica,"i know, and she's always bragging about all the famous people she's met."
phoebe,"oh, i know! ""oh...i slept with billy joel"". all right, who hasn't?"
monica,"oh, what are we gonna do! i don't wanna see her!!"
phoebe,"ugh, let's just cut her out!"
monica,what?
joey,"okay, ross, i realise that you didn't expect to walk in and see that, but.. let me explain, okay?"
rachel,we weren't doing anything!
joey,"rach, he just saw us."
rachel,shhh.
joey,"but what you saw, that is the extent of it, okay? one kiss."
rachel,"no, come on, that is a lie. we also kissed in barbados."
phoebe,cut her out of our lives! just ignore her calls and dodge her 'till she gets the point!
monica,"oh, i guess we could try that, but... it seems so harsh! (to chandler) have you ever done that?"
chandler,"no, had it done to me though. feels good !"
ross,"well... i like how you look, what are you?"
ross,"two, i think a two."
ross,"spray, count, pat, then turn, spray, count and pat."
ross,"well, i have a phd, so... (assistant walk out, not impressed by this statement) (ross takes his bathrobe off and he enters the tanning booth. he stands up in front of the red light and the sprayer starts and sprays his face and torso)"
ross,"one mississipi, two mississipi, three mis...(the sprayer starts again, spraying him in the face and torso again) wait! wait! i'm not-i've not finished counting!! (he leaves the booth) (the assistant enters the room)"
ross,you sprayed my front twice!
ross,"no, i barely even got to three mississippi."
rachel,"yeah, you started it! i've got to chill."
joey,"look, we probably should have talked to you about this before it ever happened, but.."
rachel,"we feel so terrible about this, ross."
joey,"yeah, but it did happen, so..."
joey,ross?
rachel,ross? (to joey) can we just close the door?
rachel,"ross, say something. anything."
ross,so you two are..?
ross,and have you .. ed?
joey,"no, no, no!"
rachel,"no, no, no!"
ross,"but if i hadn't walked in here, would you..?"
monica,"it's so weird, how did joey end up kissing charlie last night? i thought you'd end up kissing charlie."
ross,"hey, i thought i'd end up kissing charlie too ok? but surprise!"
chandler,"i missed most of the party (pause) charlie's a girl, right?"
ross,"yes, she is this new professor of my department that i did not kiss."
rachel,"i don't know why joey had to kiss her! i mean, of all the girls at the party, god!"
ross,"mississippilesly? (pause) well, how bad is it?"
ross,"so, how dark is it gonna get?"
ross,i'm a four?
ross,(sarcastically) really!
ross,(annoyed) ok!
ross,"wait, wait a minute, there's no light on the back wall! how do i know when it's gonna start? hello? (he slowly turns and the spraying begins, on his face) ah, oh, ah! (he turns, but then he turns again and is sprayed in the front again) ah! (he spits and angrily goes out of the spray-on tan booth and the assistant enters the room) the same thing happened again!"
ross,(hysterically) i'm an eight!
joey,"i thought you paid. (rachel does not answer and seems puzzled) ha, guess we won’t be going back there!"
monica,"oh, the way you crushed mike at ping pong was such a turn-on.you wanna...? (plays with her finger on chandlers chest)"
chandler,"you know, i'd love to, but i'm a little tired."
monica,i'll put a pillowcase over my head.
chandler,you're on!
joey,probably.
joey,"no, no!"
rachel,"ross, this is not how we wanted you to find out about this. you have every right to go nuts."
ross,i'm not going nuts. do you see me go nuts?
rachel,"no, but you know what i mean."
ross,"hey, hey, hey... if you two are happy, then i'm happy for you. (squeaky.) i'm fine!"
joey,really?
ross,"absolutely. (very squeaky.) i'm fine! totally fine. i don't know why it's coming out all loud and squeaky, 'cause really, (deep voice) i'm fine. i'm not saying i wasn't a little surprised to see you guys kissing. i mean, at first i was like.. (screams.) but now that i've had time to absorb it; lovin' this."
joey,ross..
ross,"it's all working out! me & charlie, and you two. you know what we should do?"
rachel,calm ourselves?
ross,why do you care so much?
monica,"yes rachel, why do you care so much?"
rachel,(worried) be-cause ross is the father of my child! you know... and i... want him to hook up with lots of women! (pause) i just... all i'm saying is... i don't think that joey and charlie have anything in common.
ross,"oh, i don't know, they seem to have a shared interest in each other's tonsils..."
phoebe,"wow, joey and a professor! can you imagine if they had kids and if the kids got her intelligence and joey's raw sexual magnetism... oh, those nerds will get laaaaaid!"
rachel,"all right, so... ross, you're ok with all this? i mean..."
ross,"yeah, it's no big deal. i mean, i just met her and i'm fine with it..."
ross,"oh, god. i forgot how hot she was!"
joey,hey!
ross,i'm gonna get some more coffee.
ross,ok. (they both go)
rachel,so.
joey,yeah.
joey,"hey what do you say, we move this onto the likes of the couch?"
rachel,"i say ‘cheesy line’, but ok."
joey,what’s the matter?
rachel,"i am sorry, i don’t know, i am sorry, i don’t know why i did that!"
rachel,"ok, so sorry."
rachel,"i am sorry! again... i don't know, i don’t know what happened, i must be nervous!"
joey,"i don’t get it, chandler loved it!"
rachel,"ok, ok, ok. i promise, i promise, i promise, i won’t do it again. i really do. i promise. this is gonna be great."
joey,"(talking to a pineapple in his hand) god, you're beautiful...why are we fighting this?you know you want it to happen as much as i do."
joey,i want you.i need you.let me make love to you.
rachel,"i don't wanna stand in the way of true love or anything, but i think a canelope might hurt less."
joey,"oh, ehm...i'm...i'm rehearsing my lines.they gave me a big romantic story on days of our lives. it's the first time my character's got one. i'm so nervous, you know, i really want it to be good!"
phoebe,hey!
monica,what's up?
phoebe,"well, okay, mike's taking a shower, which by the way there's no law against. and then we're gonna grab some food, so if you want..."
ross,... finally...
phoebe,is that ross?
monica,"yeah, you can hear everything through these stupid walls."
phoebe,sounds like he's with someone.
chandler,"he could be alone. this morning i heard him do push-ups, and then talk to his triceps."
monica,"wait a minute, i think phoebe's right. you know i hear someone else in there with him."
ross,"god, you're amazing... i didn't even have to ask you to call me that."
ross,"no. we should all have dinner. yes, we'll do it tomorrow night. i'll cook!!"
joey,"look, don't you think that will be a little weird?"
ross,"weird? what? what's weird? the only thing weird would be if someone didn't like mexican food, because i'm making fajitas!! (storms off.)"
joey,i do like fajitas.
monica,"god, this adoption stuff is so overwhelming. there's inter-country adoption, dependency adoption.. there are so many ways to go, and this is like the biggest decision of our lives."
chandler,there's a hair in my coffee.
phoebe,hey guys!
monica,hey.
phoebe,"hey, have you seen frank jr., 'cause he's meeting me here with the triplets."
chandler,"you know, it's funny. every time you say ""triplets,"" i immediately think of three hot blonde 19-year olds."
monica,that's sweet. drink your hair.
rachel,"(speaking to herself and reading cosmopolitan) oh, lucky me! coffee and a live sex show!"
rachel,"oh... oh, i'm sorry! i'm not... i was just-i was just reading to emma."
rachel,"yeah, yeah... it's... ""climax your way to better skin""."
joey,"so you need someone who knows fashion, to tell you what looks good."
chandler,"(to joey) so, a professor, uh?"
joey,"yeah! she is cool, and she's so smart! her mind is totally acrimonious (which, being joey, he mispronounces ""amonious""). (pause) that's not how she used it...?"
ross,"uhm no! think less of you! no, i don't think less of you. i mean, you saw someone you liked and you kissed them. i mean, those people who like someone and don't kiss them... those-those people are stupid, i hate those people."
ross,"yeah, i know the type."
joey,"hey, if you wanna grab a bite before work we'd better get acrimonious. no? am i getting close?"
phoebe,(entering) hey!
monica,hey!
phoebe,hey you guys! look what i just got. (she shows them a pair of slippers)
rachel,"oh, oh! wow, i love those! where did you get them?"
joey,ok.
joey,"(a little giddy) uh, was that good for you?"
phoebe,"oh, yeah. could be rachel asking if someone could baby-sit again."
monica,it could be amanda!
phoebe,"oh, you’re right! i was just kidding about rachel. babysitting is a gas!"
monica,you're from yonkers! your last name is buffo-martisis!
phoebe,"ok, don’t hold thy breath!"
chandler,hello? is someone on the line?
chandler,"hang on, she’s right here. (he enters the living room and hands the phone to monica) someone's on the phone, for ya."
monica,"we weren’t picking up, it’s amanda!"
rachel,woow!i haven't seen you this worked up since you did that dog food commercial and you thought you were gonna be with a real talking dog!
joey,"yeah, that was a disappointment...(pause) oh, hey!d'you want to come down to the set and tell me if i'm doing ok?"
rachel,(excited) are you serious?
joey,"yeah!hey, you just have to promise not to get yourself thrown out again."
rachel,"hey, that was an honest mistake!"
joey,"right!(he starts to ape her)""oh my god, is this the men's room? oh, i feel so foolish, have you always known you wanted to be an actor?"" (he inclines his head as if to look at a man's private parts)"
rachel,"yeah, that was an awesome day!"
monica,hey!
phoebe,hey!
ross,hi!
monica,"oh my god, that's charlie!"
chandler,she's cheating on joey with ross!
phoebe,oh that tart... floozy... giant...
monica,i'm not sure about this.
phoebe,"yeah, you're right. this is none of our business."
monica,no i'm not sure that it's the best way to hear everything. someone get me a glass!
phoebe,"oh, i'm not gonna do this, okay? i'm not gonna eavesdrop on my friend."
rachel,(through wall) ooh... i love barbados!
joey,ooh... i can't believe i'm kissing you. i'm kissing rachel!
rachel,"i know, i'm her!"
phoebe,(whispering) rachel and joey! it's rachel and joey!!!
phoebe,"hey, what's all this stuff?"
monica,"oh, they're brochures from different adoption agencies."
phoebe,"ooh, babies! oh, this one is so cute, get this one!"
monica,that's not really how it works.
phoebe,"oh, how does it work?"
monica,i don't know!
phoebe,"well, if you're having a hard time, you should talk to my friends, bill and colleen. they adopted a kid. i'm sure they'd help you."
monica,"thanks, that would be great. hey, honey, wouldn't that be great?"
phoebe,hey!
phoebe,good to see you.
monica,hi frank.
monica,"oh, my goodness, they've all gotten so big!"
joey,"(enters the room) hey, you guys, what are you doing tomorrow night?"
chandler,"(browsing through a diary) well, let me see... i-i believe i'm... yes, falling asleep in front of the tv."
joey,"look, my agent hooked me up with six tickets to a great play."
chandler,i could fall asleep at a play.
phoebe,what is it?
rachel,"(hiding herself behind the magazine and whispering) not me, not me, not me, not me, not me!"
joey,oh hey rach!
rachel,yeah...
joey,maybe you could take charlie shopping.
rachel,"oh, well..."
joey,"are you kidding? rachel loves to shop! and she has great taste! yeah, she's the one who taught me, you don't wear white after labour day and that you always, always, always have to put on underwear when you're trying on clothes."
rachel,"ok, uh-uh... let's-let's shop!!"
joey,"(to charlie) ok, you're gonna come back with some very classy clothes... (aside to rachel)... and some slutty lingerie, slutty!"
phoebe,"(entering and talking on mobile phone) ok, great! all right, bye! (she hangs up) pain in the ass!! (she looks at the others, then back at the phone) that's off, right?"
joey,"what's the matter, pheebs?"
phoebe,"oh... mike's sister just invited me to a party tonight, he's gonna be there. and she was like ""oh, don't worry! i asked him. he's totally ok with seeing you!"". so now i have to go so he'll think that i'm totally ok with seeing him!"
rachel,"which you're not, because you've totally hung up on him!"
phoebe,exactly!
phoebe,i bought them off ebay! they used to belong to the late shania twain.
rachel,"(after a pause) phoebe, shania twain is still alive!"
phoebe,oh... then i overpaid. (she goes to the bathroom)
monica,"hey, what's this?"
rachel,"oh, it's a gift certificate to this new spa in soho."
monica,"oh, you can't show phoebe this! she hates those corporate massage chains."
rachel,"ah, why, now i can't get a massage? there are so many things that she disapproves of! i can't eat veal, i can't wear fur, i can't go hunting..."
monica,do you wanna go hunting?
rachel,"well, i would like to have the option!!"
phoebe,"(coming back from the bathroom) what's up? (she sees the gift certificate in rachel's hands) hey, rachel!!"
rachel,oh!
phoebe,"no, you can't go there! you know how i feel about these ""big massage places""! they're putting people like me out of business!"
monica,"and she wants to go hunting, too!!"
