person,dialogue
chandler,so you and rachel tonight uh
joey,yeah its actually our first official date
chandler,wow so tonight may be the night youre nervous
joey,naa no this is the part im actually good at
chandler,what must it be like not to be crippled by fear and selfloathing
joey,pause its ok
chandler,how can you be so confident
joey,well i i know exactly what im gonna do
chandler,really like you have a routine
joey,no no no no no see each woman is differentyou have to appreciate their uniqueness
chandler,really
joey,no i do six things first i look deep in her eyes then i kiss her next i take my hand and i softly graze her thigh
chandler,you mean like this he starts touching his thigh in a funny and awkard way
joey,no not like that no no no like this he starts lightly grazing chandlers thigh
chandler,oh i see what you mean thats quite nice they look at each other both embarassed
joey,more foosball
chandler,and beer
monica,entering hey
monica,to chandler hey sweetie they kiss
ross,looking at monicas legs wow
chandler,hey stop staring at my wifes legs no no stop staring at your sisters legs
ross,im sorry its just how did you get so tan
chandler,she went on one of those sprayon tan places
ross,eh you got a sprayon tan
monica,chandler gets pedicures
ross,laughing why why you do like with thethe toe separators
chandler,to monica whywhy
ross,still i cant believe thats sprayed on i mean it looks really good i wonder if i should get one
chandler,sure then you should get a mini skirt so you can really show it off
ross,so do you get colours or just french tips
monica,there heres their card
ross,thanks he takes the card hey i know where this place is it used to be an xrated video pauses when he realizes what he is saying florist he goes away
phoebe,hey
chandler,hey pheebs
monica,hey phoebe
phoebe,oh you wont believe who moved back to town
monica,i know amanda ah she called me too shes the worst
chandler,whos amanda
monica,shes this girl who used to live in the building before you did then she moved to england and she picked up this fake british accent on the machine this is her message she apes amanda using an awful british accent monica darling its amanda calling
chandler,are you trying to do a british accent
monica,pause to phoebe chandler gets pedicures
chandler,just so i know how many more of those can i expect
phoebe,you know what amanda said to me when she got me on the phone apes amanda in a british accent oh so sorry to catch you on your mobile ifif you dont wanna get me on my mobile dont call me on my mobile
monica,i know and shes always bragging about all the famous people shes met
phoebe,oh i know ohi slept with billy joel all right who hasnt
monica,oh what are we gonna do i dont wanna see her
phoebe,ugh lets just cut her out
monica,what
joey,okay ross i realise that you didnt expect to walk in and see that but let me explain okay
rachel,we werent doing anything
joey,rach he just saw us
rachel,shhh
joey,but what you saw that is the extent of it okay one kiss
rachel,no come on that is a lie we also kissed in barbados
phoebe,cut her out of our lives just ignore her calls and dodge her till she gets the point
monica,oh i guess we could try that but it seems so harsh to chandler have you ever done that
chandler,no had it done to me though feels good 
ross,well i like how you look what are you
ross,two i think a two
ross,spray count pat then turn spray count and pat
ross,well i have a phd so assistant walk out not impressed by this statement ross takes his bathrobe off and he enters the tanning booth he stands up in front of the red light and the sprayer starts and sprays his face and torso
ross,one mississipi two mississipi three misthe sprayer starts again spraying him in the face and torso again wait wait im notive not finished counting he leaves the booth the assistant enters the room
ross,you sprayed my front twice
ross,no i barely even got to three mississippi
rachel,yeah you started it ive got to chill
joey,look we probably should have talked to you about this before it ever happened but
rachel,we feel so terrible about this ross
joey,yeah but it did happen so
joey,ross
rachel,ross to joey can we just close the door
rachel,ross say something anything
ross,so you two are
ross,and have you  ed
joey,no no no
rachel,no no no
ross,but if i hadnt walked in here would you
monica,its so weird how did joey end up kissing charlie last night i thought youd end up kissing charlie
ross,hey i thought id end up kissing charlie too ok but surprise
chandler,i missed most of the party pause charlies a girl right
ross,yes she is this new professor of my department that i did not kiss
rachel,i dont know why joey had to kiss her i mean of all the girls at the party god
ross,mississippilesly pause well how bad is it
ross,so how dark is it gonna get
ross,im a four
ross,sarcastically really
ross,annoyed ok
ross,wait wait a minute theres no light on the back wall how do i know when its gonna start hello he slowly turns and the spraying begins on his face ah oh ah he turns but then he turns again and is sprayed in the front again ah he spits and angrily goes out of the sprayon tan booth and the assistant enters the room the same thing happened again
ross,hysterically im an eight
joey,i thought you paid rachel does not answer and seems puzzled ha guess we wont be going back there
monica,oh the way you crushed mike at ping pong was such a turnonyou wanna plays with her finger on chandlers chest
chandler,you know id love to but im a little tired
monica,ill put a pillowcase over my head
chandler,youre on
joey,probably
joey,no no
rachel,ross this is not how we wanted you to find out about this you have every right to go nuts
ross,im not going nuts do you see me go nuts
rachel,no but you know what i mean
ross,hey hey hey if you two are happy then im happy for you squeaky im fine
joey,really
ross,absolutely very squeaky im fine totally fine i dont know why its coming out all loud and squeaky cause really deep voice im fine im not saying i wasnt a little surprised to see you guys kissing i mean at first i was like screams but now that ive had time to absorb it lovin this
joey,ross
ross,its all working out me  charlie and you two you know what we should do
rachel,calm ourselves
ross,why do you care so much
monica,yes rachel why do you care so much
rachel,worried because ross is the father of my child you know and i want him to hook up with lots of women pause i just all im saying is i dont think that joey and charlie have anything in common
ross,oh i dont know they seem to have a shared interest in each others tonsils
phoebe,wow joey and a professor can you imagine if they had kids and if the kids got her intelligence and joeys raw sexual magnetism oh those nerds will get laaaaaid
rachel,all right so ross youre ok with all this i mean
ross,yeah its no big deal i mean i just met her and im fine with it
ross,oh god i forgot how hot she was
joey,hey
ross,im gonna get some more coffee
ross,ok they both go
rachel,so
joey,yeah
joey,hey what do you say we move this onto the likes of the couch
rachel,i say cheesy line but ok
joey,whats the matter
rachel,i am sorry i dont know i am sorry i dont know why i did that
rachel,ok so sorry
rachel,i am sorry again i dont know i dont know what happened i must be nervous
joey,i dont get it chandler loved it
rachel,ok ok ok i promise i promise i promise i wont do it again i really do i promise this is gonna be great
joey,talking to a pineapple in his hand god youre beautifulwhy are we fighting thisyou know you want it to happen as much as i do
joey,i want youi need youlet me make love to you
rachel,i dont wanna stand in the way of true love or anything but i think a canelope might hurt less
joey,oh ehmimim rehearsing my linesthey gave me a big romantic story on days of our lives its the first time my characters got one im so nervous you know i really want it to be good
phoebe,hey
monica,whats up
phoebe,well okay mikes taking a shower which by the way theres no law against and then were gonna grab some food so if you want
ross, finally
phoebe,is that ross
monica,yeah you can hear everything through these stupid walls
phoebe,sounds like hes with someone
chandler,he could be alone this morning i heard him do pushups and then talk to his triceps
monica,wait a minute i think phoebes right you know i hear someone else in there with him
ross,god youre amazing i didnt even have to ask you to call me that
ross,no we should all have dinner yes well do it tomorrow night ill cook
joey,look dont you think that will be a little weird
ross,weird what whats weird the only thing weird would be if someone didnt like mexican food because im making fajitas storms off
joey,i do like fajitas
monica,god this adoption stuff is so overwhelming theres intercountry adoption dependency adoption there are so many ways to go and this is like the biggest decision of our lives
chandler,theres a hair in my coffee
phoebe,hey guys
monica,hey
phoebe,hey have you seen frank jr cause hes meeting me here with the triplets
chandler,you know its funny every time you say triplets i immediately think of three hot blonde year olds
monica,thats sweet drink your hair
rachel,speaking to herself and reading cosmopolitan oh lucky me coffee and a live sex show
rachel,oh oh im sorry im not i was justi was just reading to emma
rachel,yeah yeah its climax your way to better skin
joey,so you need someone who knows fashion to tell you what looks good
chandler,to joey so a professor uh
joey,yeah she is cool and shes so smart her mind is totally acrimonious which being joey he mispronounces amonious pause thats not how she used it
ross,uhm no think less of you no i dont think less of you i mean you saw someone you liked and you kissed them i mean those people who like someone and dont kiss them thosethose people are stupid i hate those people
ross,yeah i know the type
joey,hey if you wanna grab a bite before work wed better get acrimonious no am i getting close
phoebe,entering hey
monica,hey
phoebe,hey you guys look what i just got she shows them a pair of slippers
rachel,oh oh wow i love those where did you get them
joey,ok
joey,a little giddy uh was that good for you
phoebe,oh yeah could be rachel asking if someone could babysit again
monica,it could be amanda
phoebe,oh youre right i was just kidding about rachel babysitting is a gas
monica,youre from yonkers your last name is buffomartisis
phoebe,ok dont hold thy breath
chandler,hello is someone on the line
chandler,hang on shes right here he enters the living room and hands the phone to monica someones on the phone for ya
monica,we werent picking up its amanda
rachel,woowi havent seen you this worked up since you did that dog food commercial and you thought you were gonna be with a real talking dog
joey,yeah that was a disappointmentpause oh heydyou want to come down to the set and tell me if im doing ok
rachel,excited are you serious
joey,yeahhey you just have to promise not to get yourself thrown out again
rachel,hey that was an honest mistake
joey,righthe starts to ape heroh my god is this the mens room oh i feel so foolish have you always known you wanted to be an actor he inclines his head as if to look at a mans private parts
rachel,yeah that was an awesome day
monica,hey
phoebe,hey
ross,hi
monica,oh my god thats charlie
chandler,shes cheating on joey with ross
phoebe,oh that tart floozy giant
monica,im not sure about this
phoebe,yeah youre right this is none of our business
monica,no im not sure that its the best way to hear everything someone get me a glass
phoebe,oh im not gonna do this okay im not gonna eavesdrop on my friend
rachel,through wall ooh i love barbados
joey,ooh i cant believe im kissing you im kissing rachel
rachel,i know im her
phoebe,whispering rachel and joey its rachel and joey
phoebe,hey whats all this stuff
monica,oh theyre brochures from different adoption agencies
phoebe,ooh babies oh this one is so cute get this one
monica,thats not really how it works
phoebe,oh how does it work
monica,i dont know
phoebe,well if youre having a hard time you should talk to my friends bill and colleen they adopted a kid im sure theyd help you
monica,thanks that would be great hey honey wouldnt that be great
phoebe,hey
phoebe,good to see you
monica,hi frank
monica,oh my goodness theyve all gotten so big
joey,enters the room hey you guys what are you doing tomorrow night
chandler,browsing through a diary well let me see ii believe im yes falling asleep in front of the tv
joey,look my agent hooked me up with six tickets to a great play
chandler,i could fall asleep at a play
phoebe,what is it
rachel,hiding herself behind the magazine and whispering not me not me not me not me not me
joey,oh hey rach
rachel,yeah
joey,maybe you could take charlie shopping
rachel,oh well
joey,are you kidding rachel loves to shop and she has great taste yeah shes the one who taught me you dont wear white after labour day and that you always always always have to put on underwear when youre trying on clothes
rachel,ok uhuh letslets shop
joey,to charlie ok youre gonna come back with some very classy clothes aside to rachel and some slutty lingerie slutty
phoebe,entering and talking on mobile phone ok great all right bye she hangs up pain in the ass she looks at the others then back at the phone thats off right
joey,whats the matter pheebs
phoebe,oh mikes sister just invited me to a party tonight hes gonna be there and she was like oh dont worry i asked him hes totally ok with seeing you so now i have to go so hell think that im totally ok with seeing him
rachel,which youre not because youve totally hung up on him
phoebe,exactly
phoebe,i bought them off ebay they used to belong to the late shania twain
rachel,after a pause phoebe shania twain is still alive
phoebe,oh then i overpaid she goes to the bathroom
monica,hey whats this
rachel,oh its a gift certificate to this new spa in soho
monica,oh you cant show phoebe this she hates those corporate massage chains
rachel,ah why now i cant get a massage there are so many things that she disapproves of i cant eat veal i cant wear fur i cant go hunting
monica,do you wanna go hunting
rachel,well i would like to have the option
phoebe,coming back from the bathroom whats up she sees the gift certificate in rachels hands hey rachel
rachel,oh
phoebe,no you cant go there you know how i feel about these big massage places theyre putting people like me out of business
monica,and she wants to go hunting too
rachel,phoebe come on i dont wanna waste it it would be like throwing away a hundred bucks
chandler,to amanda i get pedicures
monica,hi amanda actually now its is not a good time dinner tomorrow night phoebe mouths no ok phoebe and i will see you then
phoebe,why why why didnt you just say no
monica,well i said no to her coming over now i couldnt say no twice i get this uncontrollable need to please people
phoebe,leaving fine fine you would not hold up well under torture
monica,and you would
phoebe,i did
rachel,absolutely absolutely i d its just a little weird its you and its me its just gonna take some getting used to
joey,ok well how how can we make it easier
rachel,ok lets work from the top down joey nods but then puzzled because he does not get it just work the bra joe
joey,ok yeah got it
joey,this thing welded shut
joey,monica hey can i borrow the porsche
monica,ok
joey,alright
monica,but ehmwhat is it not
joey,abashed a place to entertain my lady friends
monica,and what else is it not
joey,even more abashed a place to eat spaghetti
monica,so do you guys wanna come and eat dinner at the restaurant sometime in the next few weeks
phoebe,sure
ross,id love to
monica,well you cant were booked solid for the next month
phoebe,well i cant give you a massage because my licence has been revoked again
ross,phoebe what happened
phoebe,well it was an accidentyou know its a lot of oil and sometimes the hand just slips
chandler,to monica have i got a surprise for you pack your bags
phoebe,oh noyou guys arent supposed to get divorced for  years
chandler,what no im taking monica to a romantic inn in vermont shows them a brochure
phoebe,oh goodok good for youtry to recapture the magic
chandler,so what do you say can you get out of work
monica,what
phoebe,get over here
rachel,ooh
chandler,wow
monica,in her monicaexcitedway too loud oh my god i love how thin these walls are
monica,muffled thank you
rachel,hey you know before you said that nothing could happen between us what changed
joey,well i only said that because of ross you know then i saw him kissing charlie
rachel,what ross and charlie joey nods wow shes really making her way through the group huh ah who am i to talk
monica,i cant believe this rachel and joey
monica,which one is which again
joey,ah can i just say i know were doing this for ross and thats cool but if it was up to me this is not what wed be doing on our first date
rachel,well what would we be doing
joey,id take you out for a romantic night some champagne fancy dinner feel you up on the carriage ride home
rachel,feel me up
joey,in a carriage
joey,hey charlie
rachel,hey
rachel,oh you bet
joey,so did you bring a little something for ross
joey,oh oh thanks
joey,its a onewoman play called why dont you like me a bitter womans journey through life
monica,it sounds interesting
ross,yeah it does sound interesting i mean to listen to a woman complain for two hours i dont think it gets bett ross starts snoring faking to fall asleep
phoebe,i know i know we can drive we can vote we can work what more do these broads want
joey,you guys are gonna have a great time i promise
ross,what how come that you dont have to go
joey,i wish i could but i just found out that i have to be at work really early the next day so i cant go but you know take the extra ticket and invite whoever you want
chandler,browsing through a diary uh lets see who do i hate
