person,dialogue
chandler,you and rachel tonight
joey,yeah its actually our first official date
chandler,wow tonight may the night youre nervous
joey,naa this the part actually good
chandler,what must like not crippled fear and selfloathing
joey,pause its
chandler,how can you confident
joey,well know exactly what gon
chandler,really like you have routine
joey,see each woman differentyou have appreciate their uniqueness
chandler,really
joey,six things first look deep her eyes then kiss her next take hand and softly graze her thigh
chandler,you mean like this starts touching his thigh funny and awkard way
joey,not like that like this starts lightly grazing chandlers thigh
chandler,see what you mean thats quite nice they look each other both embarassed
joey,more foosball
chandler,and beer
monica,entering hey
monica,chandler hey sweetie they kiss
ross,looking monicas legs wow
chandler,hey stop staring wifes legs stop staring your sisters legs
ross,sorry its just how did you get tan
chandler,she went one those sprayon tan places
ross,you got sprayon tan
monica,chandler gets pedicures
ross,laughing why why you like with thethe toe separators
chandler,monica whywhy
ross,still cant believe thats sprayed mean looks really good wonder should get one
chandler,sure then you should get mini skirt you can really show off
ross,you get colours just french tips
monica,there heres their card
ross,thanks takes the card hey know where this place used xrated video pauses when realizes what saying florist goes away
phoebe,hey
chandler,hey pheebs
monica,hey phoebe
phoebe,you wont believe who moved back town
monica,know amanda she called too shes the worst
chandler,whos amanda
monica,shes this girl who used live the building before you did then she moved england and she picked this fake british accent the machine this her message she apes amanda using awful british accent monica darling its amanda calling
chandler,are you trying british accent
monica,pause phoebe chandler gets pedicures
chandler,just know how many more those can expect
phoebe,you know what amanda said when she got the phone apes amanda british accent sorry catch you your mobile ifif you dont wan get mobile dont call mobile
monica,know and shes always bragging about all the famous people shes met
phoebe,know ohi slept with billy joel all right who hasnt
monica,what are gon dont wan see her
phoebe,ugh lets just cut her out
monica,what
joey,okay ross realise that you didnt expect walk and see that but let explain okay
rachel,werent doing anything
joey,rach just saw
rachel,shhh
joey,but what you saw that the extent okay one kiss
rachel,come that lie also kissed barbados
phoebe,cut her out our lives just ignore her calls and dodge her till she gets the point
monica,guess could try that but seems harsh chandler have you ever done that
chandler,had done though feels good
ross,well like how you look what are you
ross,two think two
ross,spray count pat then turn spray count and pat
ross,well have phd assistant walk out not impressed this statement ross takes his bathrobe off and enters the tanning booth stands front the red light and the sprayer starts and sprays his face and torso
ross,one mississipi two mississipi three misthe sprayer starts again spraying him the face and torso again wait wait notive not finished counting leaves the booth the assistant enters the room
ross,you sprayed front twice
ross,barely even got three mississippi
rachel,yeah you started ive got chill
joey,look probably should have talked you about this before ever happened but
rachel,feel terrible about this ross
joey,yeah but did happen
joey,ross
rachel,ross joey can just close the door
rachel,ross say something anything
ross,you two are
ross,and have you
ross,but hadnt walked here would you
monica,its weird how did joey end kissing charlie last night thought youd end kissing charlie
ross,hey thought end kissing charlie too but surprise
chandler,missed most the party pause charlies girl right
ross,yes she this new professor department that did not kiss
rachel,dont know why joey had kiss her mean all the girls the party god
ross,mississippilesly pause well how bad
ross,how dark gon get
ross,four
ross,sarcastically really
ross,annoyed
ross,wait wait minute theres light the back wall how know when its gon start hello slowly turns and the spraying begins his face turns but then turns again and sprayed the front again spits and angrily goes out the sprayon tan booth and the assistant enters the room the same thing happened again
ross,hysterically eight
joey,thought you paid rachel does not answer and seems puzzled guess wont going back there
monica,the way you crushed mike ping pong was such turnonyou wan plays with her finger chandlers chest
chandler,you know love but little tired
monica,ill put pillowcase over head
chandler,youre
joey,probably
rachel,ross this not how wanted you find out about this you have every right nuts
ross,not going nuts you see nuts
rachel,but you know what mean
ross,hey hey hey you two are happy then happy for you squeaky fine
joey,really
ross,absolutely very squeaky fine totally fine dont know why its coming out all loud and squeaky cause really deep voice fine not saying wasnt little surprised see you guys kissing mean first was like screams but now that ive had time absorb lovin this
joey,ross
ross,its all working out charlie and you two you know what should
rachel,calm ourselves
ross,why you care much
monica,yes rachel why you care much
rachel,worried because ross the father child you know and want him hook with lots women pause just all saying dont think that joey and charlie have anything common
ross,dont know they seem have shared interest each others tonsils
phoebe,wow joey and professor can you imagine they had kids and the kids got her intelligence and joeys raw sexual magnetism those nerds will get laaaaaid
rachel,all right ross youre with all this mean
ross,yeah its big deal mean just met her and fine with
ross,god forgot how hot she was
joey,hey
ross,gon get some more coffee
ross,they both
joey,yeah
joey,hey what you say move this onto the likes the couch
rachel,say cheesy line but
joey,whats the matter
rachel,sorry dont know sorry dont know why did that
rachel,sorry
rachel,sorry again dont know dont know what happened must nervous
joey,dont get chandler loved
rachel,promise promise promise wont again really promise this gon great
joey,talking pineapple his hand god youre beautifulwhy are fighting thisyou know you want happen much
joey,want youi need youlet make love you
rachel,dont wan stand the way true love anything but think canelope might hurt less
joey,ehmimim rehearsing linesthey gave big romantic story days our lives its the first time characters got one nervous you know really want good
phoebe,hey
monica,whats
phoebe,well okay mikes taking shower which the way theres law against and then were gon grab some food you want
ross,finally
phoebe,that ross
monica,yeah you can hear everything through these stupid walls
phoebe,sounds like hes with someone
chandler,could alone this morning heard him pushups and then talk his triceps
monica,wait minute think phoebes right you know hear someone else there with him
ross,god youre amazing didnt even have ask you call that
ross,should all have dinner yes well tomorrow night ill cook
joey,look dont you think that will little weird
ross,weird what whats weird the only thing weird would someone didnt like mexican food because making fajitas storms off
joey,like fajitas
monica,god this adoption stuff overwhelming theres intercountry adoption dependency adoption there are many ways and this like the biggest decision our lives
chandler,theres hair coffee
phoebe,hey guys
monica,hey
phoebe,hey have you seen frank cause hes meeting here with the triplets
chandler,you know its funny every time you say triplets immediately think three hot blonde year olds
monica,thats sweet drink your hair
rachel,speaking herself and reading cosmopolitan lucky coffee and live sex show
rachel,sorry not was justi was just reading emma
rachel,yeah yeah its climax your way better skin
joey,you need someone who knows fashion tell you what looks good
chandler,joey professor
joey,yeah she cool and shes smart her mind totally acrimonious which being joey mispronounces amonious pause thats not how she used
ross,uhm think less you dont think less you mean you saw someone you liked and you kissed them mean those people who like someone and dont kiss them thosethose people are stupid hate those people
ross,yeah know the type
joey,hey you wan grab bite before work wed better get acrimonious getting close
phoebe,entering hey
monica,hey
phoebe,hey you guys look what just got she shows them pair slippers
rachel,wow love those where did you get them
joey,little giddy was that good for you
phoebe,yeah could rachel asking someone could babysit again
monica,could amanda
phoebe,youre right was just kidding about rachel babysitting gas
monica,youre from yonkers your last name buffomartisis
phoebe,dont hold thy breath
chandler,hello someone the line
chandler,hang shes right here enters the living room and hands the phone monica someones the phone for
monica,werent picking its amanda
rachel,woowi havent seen you this worked since you did that dog food commercial and you thought you were gon with real talking dog
joey,yeah that was disappointmentpause heydyou want come down the set and tell doing
rachel,excited are you serious
