person,dialogue
chandler,rachel tonight
joey,yeah actually first official date
chandler,wow tonight may night youre nervous
joey,naa part actually good
chandler,must like crippled fear selfloathing
joey,pause
chandler,confident
joey,well know exactly gon
chandler,really like routine
joey,see woman differentyou appreciate uniqueness
chandler,really
joey,six things first look deep eyes kiss next take hand softly graze thigh
chandler,mean like starts touching thigh funny awkard way
joey,like like starts lightly grazing chandlers thigh
chandler,see mean thats quite nice look embarassed
joey,foosball
chandler,beer
monica,entering hey
monica,chandler hey sweetie kiss
ross,looking monicas legs wow
chandler,hey stop staring wifes legs stop staring sisters legs
ross,sorry get tan
chandler,went one sprayon tan places
ross,got sprayon tan
monica,chandler gets pedicures
ross,laughing like thethe toe separators
chandler,monica whywhy
ross,still cant believe thats sprayed mean looks really good wonder get one
chandler,sure get mini skirt really show
ross,get colours french tips
monica,heres card
ross,thanks takes card hey know place used xrated video pauses realizes saying florist goes away
phoebe,hey
chandler,hey pheebs
monica,hey phoebe
phoebe,wont believe moved back town
monica,know amanda called shes worst
chandler,whos amanda
monica,shes girl used live building moved england picked fake british accent machine message apes amanda using awful british accent monica darling amanda calling
chandler,trying british accent
monica,pause phoebe chandler gets pedicures
chandler,know many expect
phoebe,know amanda said got phone apes amanda british accent sorry catch mobile ifif dont wan get mobile dont call mobile
monica,know shes always bragging famous people shes met
phoebe,know ohi slept billy joel right hasnt
monica,gon dont wan see
phoebe,ugh lets cut
joey,okay ross realise didnt expect walk see let explain okay
rachel,werent anything
joey,rach saw
rachel,shhh
joey,saw extent okay one kiss
rachel,come lie also kissed barbados
phoebe,cut lives ignore calls dodge till gets point
monica,guess could try seems harsh chandler ever done
chandler,done though feels good
ross,well like look
ross,two think two
ross,spray count pat turn spray count pat
ross,well phd assistant walk impressed statement ross takes bathrobe enters tanning booth stands front red light sprayer starts sprays face torso
ross,one mississipi two mississipi three misthe sprayer starts spraying face torso wait wait notive finished counting leaves booth assistant enters room
ross,sprayed front twice
ross,barely even got three mississippi
rachel,yeah started ive got chill
joey,look probably talked ever happened
rachel,feel terrible ross
joey,yeah happen
joey,ross
rachel,ross joey close door
rachel,ross say something anything
ross,two
ross,hadnt walked would
monica,weird joey end kissing charlie last night thought youd end kissing charlie
ross,hey thought end kissing charlie surprise
chandler,missed party pause charlies girl right
ross,yes new professor department kiss
rachel,dont know joey kiss mean girls party god
ross,mississippilesly pause well bad
ross,dark gon get
ross,four
ross,sarcastically really
ross,annoyed
ross,wait wait minute theres light back wall know gon start hello slowly turns spraying begins face turns turns sprayed front spits angrily goes sprayon tan booth assistant enters room thing happened
ross,hysterically eight
joey,thought paid rachel answer seems puzzled guess wont going back
monica,way crushed mike ping pong turnonyou wan plays finger chandlers chest
chandler,know love little tired
monica,ill put pillowcase head
chandler,youre
joey,probably
rachel,ross wanted find every right nuts
ross,going nuts see nuts
rachel,know mean
ross,hey hey hey two happy happy squeaky fine
joey,really
ross,absolutely squeaky fine totally fine dont know coming loud squeaky cause really deep voice fine saying wasnt little surprised see guys kissing mean first like screams ive time absorb lovin
joey,ross
ross,working charlie two know
rachel,calm
ross,care much
monica,yes rachel care much
rachel,worried ross father child know want hook lots women pause saying dont think joey charlie anything common
ross,dont know seem shared interest others tonsils
phoebe,wow joey professor imagine kids kids got intelligence joeys raw sexual magnetism nerds get laaaaaid
rachel,right ross youre mean
ross,yeah big deal mean met fine
ross,god forgot hot
joey,hey
ross,gon get coffee
joey,yeah
joey,hey say move onto likes couch
rachel,say cheesy line
joey,whats matter
rachel,sorry dont know sorry dont know
rachel,sorry
rachel,sorry dont know dont know happened must nervous
joey,dont get chandler loved
rachel,promise promise promise wont really promise gon great
joey,talking pineapple hand god youre beautifulwhy fighting thisyou know want happen much
joey,want youi need youlet make love
rachel,dont wan stand way true love anything think canelope might hurt less
joey,ehmimim rehearsing linesthey gave big romantic story days lives first time characters got one nervous know really want good
phoebe,hey
monica,whats
phoebe,well okay mikes taking shower way theres law gon grab food want
ross,finally
phoebe,ross
monica,yeah hear everything stupid walls
phoebe,sounds like hes someone
chandler,could alone morning heard pushups talk triceps
monica,wait minute think phoebes right know hear someone else
ross,god youre amazing didnt even ask call
ross,dinner yes well tomorrow night ill cook
joey,look dont think little weird
ross,weird whats weird thing weird would someone didnt like mexican food making fajitas storms
joey,like fajitas
monica,god adoption stuff overwhelming theres intercountry adoption dependency adoption many ways like biggest decision lives
chandler,theres hair coffee
phoebe,hey guys
monica,hey
phoebe,hey seen frank cause hes meeting triplets
