person,dialogue
chandler,"So, you and Rachel tonight, uh?"
joey,Yeah. It's actually our first official date
chandler,Wow! So tonight may be the night! You're nervous?
joey,"Naa, no. This is the part I'm actually good at."
chandler,What must it be like not to be crippled by fear and self-loathing.
joey,(pause) It's OK!
chandler,How can you be so confident?
joey,"Well, I... I know exactly what I'm gonna do!"
chandler,Really? Like you have a routine?
joey,"No, no no no no. See. Each woman is different.You have to appreciate their uniqueness."
chandler,Really?
joey,"No, I do six things! First, I look deep in her eyes. Then, I kiss her. Next I take my hand and I softly graze her thigh."
chandler,You mean like this? (he starts touching his thigh in a funny and awkard way)
joey,"NO! Not like that, no no. No, like this. (He starts lightly grazing Chandler's thigh)"
chandler,"Oh, I see what you mean, that's quite nice. (They look at each other, both embarassed)"
joey,More foosball?
chandler,...and beer!!
monica,(entering) Hey!
monica,(to Chandler) Hey sweetie! (they kiss)
ross,(looking at Monica's legs) WOW!
chandler,Hey! Stop staring at my wife's legs! No no! Stop staring at your sister's legs!
ross,"I'm sorry, it's just... how did you get so tan?"
chandler,She went on one of those spray-on tan places.
ross,"Eh, you got a spray-on tan?"
monica,Chandler gets pedicures!
ross,"(laughing) Why, why you do, like with the-the toe separators?"
chandler,(To Monica) Why...why?
ross,"Still, I can't believe that's sprayed on... I mean, it looks really good. I wonder if I should get one!"
chandler,"Sure, then you should get a mini skirt so you can really show it off."
ross,"So, do you get colours or just French tips?"
monica,There. Here's their card.
ross,"Thanks. (he takes the card) Hey, I know where this place is! It used to be an X-rated video... (pauses when he realizes what he is saying) florist. (he goes away)"
phoebe,Hey!
chandler,Hey Pheebs!
monica,Hey Phoebe!
phoebe,"Oh, you won't believe who moved back to town."
monica,"I know, Amanda! Ah! She called me too! She's the worst!"
chandler,Who's Amanda?
monica,"She's this girl who used to live in the building before you did. Then she moved to England and she picked up this fake British accent. On the machine this is her message. (she apes Amanda using an awful British accent) ""Monica, darling! It's Amanda calling!"""
chandler,Are you trying to do a British accent?
monica,(pause) (to Phoebe) Chandler gets pedicures!
chandler,"Just so I know, how many more of those can I expect?"
phoebe,"You know what Amanda said to me when she got me on the phone? (apes Amanda in a british accent) ""Oh, so sorry to catch you on your Mo-Bile!"" If-if you don't wanna get me on my mo-Bile, don't call me on my mo-Bile!"""
monica,"I know, and she's always bragging about all the famous people she's met."
phoebe,"Oh, I know! ""Oh...I slept with Billy Joel"". All right, who hasn't?"
monica,"Oh, what are we gonna do! I don't wanna see her!!"
phoebe,"Ugh, Let's just cut her out!"
monica,What?
joey,"Okay, Ross, I realise that you didn't expect to walk in and see that, but.. Let me explain, okay?"
rachel,We weren't doing anything!
joey,"Rach, he just saw us."
rachel,Shhh.
joey,"But what you saw, that is the extent of it, okay? One kiss."
rachel,"No, come on, that is a lie. We also kissed in Barbados."
phoebe,Cut her out of our lives! Just ignore her calls and dodge her 'till she gets the point!
monica,"Oh, I guess we could try that, but... it seems so harsh! (to Chandler) Have you ever done that?"
chandler,"No, had it done to me though. Feels good !"
ross,"Well... I like how you look, what are you?"
ross,"Two, I think a two."
ross,"Spray, count, pat, then turn, spray, count and pat."
ross,"Well, I have a PhD, so... (assistant walk out, not impressed by this statement) (Ross takes his bathrobe off and he enters the tanning booth. He stands up in front of the red light and the sprayer starts and sprays his face and torso)"
ross,"One Mississipi, two Mississipi, Three Mis...(the sprayer starts again, spraying him in the face and torso again) WAIT! WAIT! I'm not-I've not finished counting!! (he leaves the booth) (the assistant enters the room)"
ross,You sprayed my front twice!
ross,"No, I barely even got to three Mississippi."
rachel,"Yeah, you started it! I've got to chill."
joey,"Look, we probably should have talked to you about this before it ever happened, but.."
rachel,"We feel so terrible about this, Ross."
joey,"Yeah, but it did happen, so..."
joey,Ross?
rachel,Ross? (to Joey) Can we just close the door?
rachel,"Ross, say something. Anything."
ross,So you two are..?
ross,And have you .. ed?
joey,"No, no, no!"
rachel,"No, no, no!"
ross,"But if I hadn't walked in here, would you..?"
monica,"It's so weird, how did Joey end up kissing Charlie last night? I thought you'd end up kissing Charlie."
ross,"Hey, I thought I'd end up kissing Charlie too ok? But SURPRISE!"
chandler,"I missed most of the party (pause) Charlie's a girl, right?"
ross,"Yes, she is this new professor of my department that I did not kiss."
rachel,"I don't know why Joey had to kiss her! I mean, of all the girls at the party, GOD!"
ross,"Mississippilesly? (pause) Well, how bad is it?"
ross,"So, how dark is it gonna get?"
ross,I'm a four?
ross,(sarcastically) Really!
ross,(annoyed) Ok!
ross,"Wait, wait a minute, there's no light on the back wall! How do I know when it's gonna start? Hello? (he slowly turns and the spraying begins, on his face) Ah, oh, ah! (he turns, but then he turns again and is sprayed in the front again) Ah! (he spits and angrily goes out of the spray-on tan booth and the assistant enters the room) The same thing happened again!"
ross,(hysterically) I'm an eight!
joey,"I thought you paid. (Rachel does not answer and seems puzzled) Ha, guess we won’t be going back there!"
monica,"Oh, the way you crushed Mike at ping pong was such a turn-on.You wanna...? (plays with her finger on Chandlers chest)"
chandler,"You know, I'd love to, but I'm a little tired."
monica,I'll put a pillowcase over my head.
chandler,You're on!
joey,Probably.
joey,"No, no!"
rachel,"Ross, this is not how we wanted you to find out about this. You have every right to go nuts."
ross,I'm not going nuts. Do you see me go nuts?
rachel,"No, but you know what I mean."
ross,"Hey, hey, hey... If you two are happy, then I'm happy for you. (Squeaky.) I'm fine!"
joey,Really?
ross,"Absolutely. (Very Squeaky.) I'm fine! Totally fine. I don't know why it's coming out all loud and squeaky, 'cause really, (deep voice) I'm fine. I'm not saying I wasn't a little surprised to see you guys kissing. I mean, at first I was like.. (Screams.) But now that I've had time to absorb it; Lovin' this."
joey,Ross..
ross,"It's all working out! Me & Charlie, and you two. You know what we should do?"
rachel,Calm ourselves?
ross,Why do you care so much?
monica,"Yes Rachel, why do you care so much?"
rachel,(worried) Be-cause Ross is the father of my child! You know... and I... want him to hook up with lots of women! (pause) I just... All I'm saying is... I don't think that Joey and Charlie have anything in common.
ross,"Oh, I don't know, they seem to have a shared interest in each other's tonsils..."
phoebe,"Wow, Joey and a professor! Can you imagine if they had kids and if the kids got her intelligence and Joey's raw sexual magnetism... Oh, those nerds will get laaaaaid!"
rachel,"All right, so... Ross, you're ok with all this? I mean..."
ross,"Yeah, it's no big deal. I mean, I just met her and I'm fine with it..."
ross,"Oh, God. I forgot how hot she was!"
joey,Hey!
ross,I'm gonna get some more coffee.
ross,Ok. (they both go)
rachel,So.
joey,Yeah.
joey,"Hey what do you say, we move this onto the likes of the couch?"
rachel,"I say ‘cheesy line’, but ok."
joey,What’s the matter?
rachel,"I am sorry, I don’t know, I am sorry, I don’t know why I did that!"
rachel,"Ok, so sorry."
rachel,"I am sorry! Again... I don't know, I don’t know what happened, I must be nervous!"
joey,"I don’t get it, Chandler loved it!"
rachel,"Ok, ok, ok. I promise, I promise, I promise, I won’t do it again. I really do. I promise. This is gonna be great."
joey,"(talking to a pineapple in his hand) God, you're beautiful...why are we fighting this?You know you want it to happen as much as I do."
joey,I want you.I need you.Let me make love to you.
rachel,"I don't wanna stand in the way of true love or anything, but I think a canelope might hurt less."
joey,"Oh, ehm...I'm...I'm rehearsing my lines.They gave me a big romantic story on Days Of Our Lives. It's the first time my character's got one. I'm so nervous, you know, I really want it to be good!"
phoebe,Hey!
monica,What's up?
phoebe,"Well, okay, Mike's taking a shower, which by the way there's no law against. And then we're gonna grab some food, so if you want..."
ross,... finally...
phoebe,Is that Ross?
monica,"Yeah, you can hear everything through these stupid walls."
phoebe,Sounds like he's with someone.
chandler,"He could be alone. This morning I heard him do push-ups, and then talk to his triceps."
monica,"Wait a minute, I think Phoebe's right. You know I hear someone else in there with him."
ross,"God, you're amazing... I didn't even have to ask you to call me that."
ross,"No. We should all have dinner. Yes, we'll do it tomorrow night. I'll cook!!"
joey,"Look, don't you think that will be a little weird?"
ross,"Weird? What? What's weird? The only thing weird would be if someone didn't like Mexican food, because I'm making fajitas!! (Storms off.)"
joey,I do like fajitas.
monica,"God, this adoption stuff is so overwhelming. There's inter-country adoption, dependency adoption.. There are so many ways to go, and this is like the biggest decision of our lives."
chandler,There's a hair in my coffee.
phoebe,Hey guys!
monica,Hey.
phoebe,"Hey, have you seen Frank Jr., 'cause he's meeting me here with the triplets."
chandler,"You know, it's funny. Every time you say ""triplets,"" I immediately think of three hot blonde 19-year olds."
monica,That's sweet. Drink your hair.
rachel,"(speaking to herself and reading Cosmopolitan) Oh, lucky me! Coffee and a live sex show!"
rachel,"Oh... Oh, I'm sorry! I'm not... I was just-I was just reading to Emma."
rachel,"Yeah, yeah... It's... ""climax your way to better skin""."
joey,"So you need someone who knows fashion, to tell you what looks good."
chandler,"(to Joey) So, a professor, uh?"
joey,"Yeah! She is cool, and she's so smart! Her mind is totally acrimonious (which, being Joey, he mispronounces ""amonious""). (pause) That's not how she used it...?"
ross,"Uhm no! Think less of you! No, I don't think less of you. I mean, you saw someone you liked and you kissed them. I mean, those people who like someone and don't kiss them... those-those people are stupid, I hate those people."
ross,"Yeah, I know the type."
joey,"Hey, if you wanna grab a bite before work we'd better get acrimonious. No? Am I getting close?"
phoebe,(entering) Hey!
monica,Hey!
phoebe,Hey you guys! Look what I just got. (she shows them a pair of slippers)
rachel,"Oh, OH! Wow, I love those! Where did you get them?"
joey,Ok.
joey,"(a little giddy) Uh, was that good for you?"
phoebe,"Oh, yeah. Could be Rachel asking if someone could baby-sit again."
monica,It could be Amanda!
phoebe,"Oh, you’re right! I was just kidding about Rachel. Babysitting is a gas!"
monica,You're from Yonkers! Your last name is Buffo-Martisis!
phoebe,"Ok, don’t hold thy breath!"
chandler,Hello? Is someone on the line?
chandler,"Hang on, she’s right here. (he enters the living room and hands the phone to Monica) Someone's on the phone, for ya."
monica,"We weren’t picking up, it’s Amanda!"
rachel,Woow!I haven't seen you this worked up since you did that dog food commercial and you thought you were gonna be with a real talking dog!
joey,"Yeah, that was a disappointment...(pause) Oh, hey!D'you want to come down to the set and tell me if I'm doing ok?"
rachel,(excited) Are you serious?
joey,"Yeah!Hey, you just have to promise not to get yourself thrown out again."
rachel,"Hey, that was an honest mistake!"
joey,"Right!(he starts to ape her)""Oh my God, is this the men's room? Oh, I feel so foolish, have you always known you wanted to be an actor?"" (he inclines his head as if to look at a man's private parts)"
rachel,"Yeah, that was an awesome day!"
monica,Hey!
phoebe,Hey!
ross,Hi!
monica,"Oh my God, that's Charlie!"
chandler,She's cheating on Joey with Ross!
phoebe,Oh that tart... floozy... giant...
monica,I'm not sure about this.
phoebe,"Yeah, you're right. This is none of our business."
monica,No I'm not sure that it's the best way to hear everything. Someone get me a glass!
phoebe,"Oh, I'm not gonna do this, okay? I'm not gonna eavesdrop on my friend."
rachel,(through wall) Ooh... I love Barbados!
joey,Ooh... I can't believe I'm kissing you. I'm kissing Rachel!
rachel,"I know, I'm her!"
phoebe,(whispering) Rachel and Joey! It's Rachel and Joey!!!
phoebe,"Hey, what's all this stuff?"
monica,"Oh, they're brochures from different adoption agencies."
phoebe,"Ooh, babies! Oh, this one is so cute, get this one!"
monica,That's not really how it works.
phoebe,"Oh, how does it work?"
monica,I don't know!
phoebe,"Well, if you're having a hard time, you should talk to my friends, Bill and Colleen. They adopted a kid. I'm sure they'd help you."
monica,"Thanks, that would be great. Hey, honey, wouldn't that be great?"
phoebe,Hey!
phoebe,Good to see you.
monica,Hi Frank.
monica,"Oh, my goodness, they've all gotten so big!"
joey,"(enters the room) Hey, you guys, what are you doing tomorrow night?"
chandler,"(browsing through a diary) Well, let me see... I-I believe I'm... yes, falling asleep in front of the TV."
joey,"Look, my agent hooked me up with six tickets to a great play."
chandler,I could fall asleep at a play.
phoebe,What is it?
rachel,"(hiding herself behind the magazine and whispering) Not me, not me, not me, not me, not me!"
joey,Oh hey Rach!
rachel,Yeah...
joey,Maybe you could take Charlie shopping.
rachel,"Oh, well..."
joey,"Are you kidding? Rachel loves to shop! And she has great taste! Yeah, she's the one who taught me, you don't wear white after labour day and that you always, always, always have to put on underwear when you're trying on clothes."
rachel,"Ok, uh-uh... Let's-Let's shop!!"
joey,"(to Charlie) Ok, you're gonna come back with some very classy clothes... (aside to Rachel)... and some slutty lingerie, SLUTTY!"
phoebe,"(entering and talking on mobile phone) Ok, great! All right, bye! (she hangs up) Pain in the ass!! (she looks at the others, then back at the phone) That's off, right?"
joey,"What's the matter, Pheebs?"
phoebe,"Oh... Mike's sister just invited me to a party tonight, he's gonna be there. And she was like ""Oh, don't worry! I asked him. He's totally ok with seeing you!"". So now I have to go so he'll think that I'm totally ok with seeing him!"
rachel,"Which you're not, because you've totally hung up on him!"
phoebe,Exactly!
phoebe,I bought them off Ebay! They used to belong to the late Shania Twain.
rachel,"(after a pause) Phoebe, Shania Twain is still alive!"
