person,dialogue
ross,"Uh, Rach, we're running low on resumes over here."
monica,Do you really want a job with
chandler,"Well, if you're gonna work for mechanics, those are the ones to work for."
rachel,"Hey, look, you guys, I'm going for anything here, OK? I cannot be a waitress anymore, I mean it. I'm sick of the lousy tips, I'm sick of being called 'Excuse me...'"
ross,"Rach, did you proofread these?"
rachel,"Uh... yeah, why?"
ross,"Uh, nothing, I'm sure they'll be impressed with your excellent"
rachel,"[upset] Oh my Goood! Oh, do you think it's on all of them?"
joey,"Oh no, I'm sure the Xerox machine caught a few."
monica,"Hey, guys."
rachel,"Hey... hi, ladies... uh, can I get you anything? [to Monica, quietly]: Did you bring the mail?"
monica,Lots of responses.
rachel,"[to Monica]: Really? [out loud]: Sure, we have scones left! [to Monica]: OK, read them to me."
phoebe,"[reading]: Dear Ms. Green, thank you for your inquiry, however... oh... [crumples up letter]"
rachel,[out loud]: We have apple cinnamon...
monica,[reading]: OK... Dear Ms. Green... yeah... yeah... yeah... No. [crumpes up letter]
phoebe,Wow!
rachel,What?
phoebe,[reading]: Your Visa bill is huge!
rachel,[grabs the bill] Give me that!
chandler,"You know, I can't believe you. Linda is so great! Why won't you go out with her again?"
joey,"I'm tellin' you Ross, she wants you."
ross,I don't know.
chandler,Is this still about her whole 'The Flintstones could've really happened' thing?
ross,"No, it's not just that. It's just--I want someone who... who"
chandler,...little playthings with yarn?
ross,What?
chandler,Could you want her more?
ross,Who?
chandler,"[sarcastically] Dee, the sarcastic sister from"
ross,"Look, I am totally, totally over her, OK, I just... [Rachel comes over, Ross lays head on table]: Hiiii!"
rachel,Hi! How are you?
ross,"We're fine, we're fine."
rachel,OK. [walks away]
joey,Shut up!
ross,And here's little Ben nodding off...
ross,[quietly] That would be nice.
joey,"Hey, Chan, can you help me out here? I promise I'll pay you back."
joey,"I will, really. I'll pay you back this time."
ross,She barely knows me. We just live in the same building.
chandler,Any contact?
ross,She lent me an egg once.
joey,You're in!
ross,"Aw, right."
ross,Hey. [stutters something incoherent]
chandler,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbian--I don't think we need a third..."
joey,"Excuse me, could we get an egg over here, still in the shell? Thanks."
chandler,We're not--we're not saying anything.
phoebe,What?
ross,Uhhhh... Joey cried last night.
joey,Thank you.
chandler,"[to the girls] We were playing poker, alright..."
joey,"There was chocolate on the three. It looked like an eight, alright?"
ross,"Oh, guys, you should've seen him. 'Read 'em and weep.'"
chandler,And then he did.
joey,Well... I'm helping out down at the NYU Med School with some... research.
ross,[overhearing] What kind of research?
joey,"Oh, just, y'know.... science."
ross,"Science. Yeah, I think I've heard of that. [everyone's interest is piqued, they all look over]"
joey,[sigh]... It's a fertility study.
